Object category,Train normal,Train anomaly,Test normal,Test anomaly,Total normal,Total anomaly,Total images,Anomaly ratio (%)
candle,600,60,400,40,1000,100,1100,9.09
capsules,361,60,241,40,602,100,702,14.25
cashew,300,60,200,40,500,100,600,16.67
chewinggum,302,60,201,40,503,100,603,16.58
fryum,300,60,200,40,500,100,600,16.67
macaroni1,600,60,400,40,1000,100,1100,9.09
macaroni2,600,60,400,40,1000,100,1100,9.09
pcb1,602,60,402,40,1004,100,1104,9.06
pcb2,601,60,400,40,1001,100,1101,9.08
pcb3,604,60,402,40,1006,100,1106,9.04
pcb4,603,60,402,40,1005,100,1105,9.05
pipe_fryum,300,60,200,40,500,100,600,16.67
