Model,Object category,N,Normal,Anomaly,Accuracy,Balanced Accuracy,Precision,Recall,F1-score
GLU-Net,chewinggum,241,201,40,0.971,0.9325,0.9459,0.875,0.9091
GLU-Net,fryum,240,200,40,0.9625,0.8975,0.9697,0.8,0.8767
GLU-Net,pipe_fryum,240,200,40,0.9625,0.8875,1.0,0.775,0.8732
GLU-Net,cashew,240,200,40,0.9417,0.935,0.7708,0.925,0.8409
GLU-Net,pcb4,442,402,40,0.9638,0.9688,0.7222,0.975,0.8298
GLU-Net,pcb1,442,402,40,0.9706,0.8825,0.8857,0.775,0.8267
GLU-Net,macaroni1,440,400,40,0.9682,0.9038,0.825,0.825,0.825
GLU-Net,candle,440,400,40,0.9591,0.9662,0.6964,0.975,0.8125
GLU-Net,pcb2,440,400,40,0.9659,0.835,0.931,0.675,0.7826
GLU-Net,macaroni2,440,400,40,0.9636,0.8338,0.9,0.675,0.7714
GLU-Net,pcb3,442,402,40,0.9299,0.7701,0.6216,0.575,0.5974
GLU-Net,capsules,281,241,40,0.8149,0.7462,0.4062,0.65,0.5
